Team,Payroll,Wins,,Residuals,Residual Squared
NYY,206,95,93.2236,1.7764,3.15559696
BOS,162,89,88.5772,0.4228,0.17875984
CHC,146,75,86.8876,-11.8876,141.3150338
PHI,142,97,86.4652,10.5348,110.982011
NYM,134,79,85.6204,-6.6204,43.82969616
DET,123,81,84.4588,-3.4588,11.96329744
CHW,106,88,82.6636,5.3364,28.47716496
LAA,105,80,82.558,-2.558,6.543364
SF,99,92,81.9244,10.0756,101.5177154
MIN,98,94,81.8188,12.1812,148.3816334
LAD,95,80,81.502,-1.502,2.256004
HOU,92,76,81.1852,-5.1852,26.88629904
SEA,86,61,80.5516,-19.5516,382.2650626
STL,86,86,80.5516,5.4484,29.68506256
ATL,84,91,80.3404,10.6596,113.6270722
COL,84,83,80.3404,2.6596,7.07347216
BAL,82,66,80.1292,-14.1292,199.6342926
MIL,81,77,80.0236,-3.0236,9.14215696
TB,72,96,79.0732,16.9268,286.5165582
CIN,71,91,78.9676,12.0324,144.7786498
KC,71,67,78.9676,-11.9676,143.2234498
TOR,62,85,78.0172,6.9828,48.75949584
ARZ,61,65,77.9116,-12.9116,166.7094146
CLE,61,69,77.9116,-8.9116,79.41661456
WAS,61,69,77.9116,-8.9116,79.41661456
FA,57,80,77.4892,2.5108,6.30411664
TEX,55,90,77.278,12.722,161.849284
OAK,52,81,76.9612,4.0388,16.31190544
SD,38,90,75.4828,14.5172,210.7490958
PIT,35,57,75.166,-18.166,330.003556
,,,,,
,,,,,
,2707,,,,3040.95245
,1456.805747,121.1034483,,,
